time,date,code,action,weight,reason
2026-01-29 16:17:45,2025-10-26,159934,BUY,0.1163,复合得分80.2：动量100+夏普96+反转44，强势趋势与高风险调整收益兼备
2026-01-29 16:17:45,2025-10-26,518600,BUY,0.1001,复合得分70.4：动量74+夏普89+反转48，稳健上涨且波动可控
2026-01-29 16:17:45,2025-10-26,159834,BUY,0.0981,复合得分69.1：动量70+夏普85+反转52，多因子均衡表现
2026-01-29 16:17:45,2025-10-26,159652,BUY,0.096,复合得分67.9：动量96+夏普81但反转26，趋势强劲
2026-01-29 16:17:45,2025-10-26,517400,BUY,0.0919,复合得分65.4：反转85+动量63+夏普48，超跌反弹潜力显著
2026-01-29 16:17:45,2025-10-26,516650,BUY,0.0919,复合得分65.4：动量85+夏普74+反转37，趋势与稳定性良好
2026-01-29 16:17:45,2025-10-26,561330,BUY,0.0899,复合得分64.2：动量93+夏普70但反转30，短期强势
2026-01-29 16:17:45,2025-10-26,511360,BUY,0.0899,复合得分64.2：夏普100+反转67但动量26，低波动高夏普特性突出
2026-01-29 16:17:45,2025-10-26,159322,BUY,0.0899,复合得分64.2：反转81+动量59+夏普52，技术面超卖修复中
2026-01-29 16:17:45,2025-10-26,159816,BUY,0.0859,复合得分61.7：夏普93+反转70但动量22，适合防御配置
